127.0.0.1 - - [16/Sep/2015:09:15:54 +0800] "GET /bpms/webuploader-master/dist/webuploader.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:15:54 +0800] "GET /bpms/webuploader-master/css/webuploader.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:15:54 +0800] "GET /bpms/webuploader-master/examples/image-upload/style.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:15:54 +0800] "GET /bpms/webuploader-master/examples/image-upload/upload.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:15:54 +0800] "GET /bpms/webuploader-master/examples/image-upload/image.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:16:38 +0800] "GET /bpms/jsp/loanOrder/loanOrderAttachmentForm.jsp?t=Wed%20Sep%2016%202015%2009:16:38%20GMT+0800%20(%E4%B8%AD%E5%9B%BD%E6%A0%87%E5%87%86%E6%97%B6%E9%97%B4) HTTP/1.1" 200 1453
127.0.0.1 - - [16/Sep/2015:09:18:59 +0800] "GET /bpms/index.jsp HTTP/1.1" 200 18013
127.0.0.1 - - [16/Sep/2015:09:18:59 +0800] "GET /bpms/js/xheditor/jquery-1.8.0.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:18:59 +0800] "GET /bpms/js/xheditor/xheditor-1.1.14-zh-cn.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:18:59 +0800] "GET /bpms/themes/metro/easyui.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:18:59 +0800] "GET /bpms/css/common.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:18:59 +0800] "GET /bpms/themes/icon.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:18:59 +0800] "GET /bpms/js/easyui-lang-zh_CN.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:18:59 +0800] "GET /bpms/js/jquery.easyui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/jqueryUtil.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/FusionCharts/FusionCharts.jqueryplugin.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/FusionCharts/FusionChartsExportComponent.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/json2.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/ajaxfileupload.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/FusionCharts/FusionCharts.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/validate.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/WdatePicker/WdatePicker.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/common.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/js/WdatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "POST /bpms/layout/north.jsp HTTP/1.1" 200 4732
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "POST /bpms/layout/south.jsp HTTP/1.1" 200 128
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "POST /bpms/layout/center.jsp HTTP/1.1" 200 6341
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/themes/metro/images/layout_arrows.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/themes/metro/images/loading.gif HTTP/1.1" 304 -
127.0.0.1 - - [16/Sep/2015:09:19:00 +0800] "GET /bpms/themes/metro/images/blank.gif HTTP/1.1" 304 -
