127.0.0.1 - - [23/Oct/2015:09:09:25 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [23/Oct/2015:09:11:04 +0800] "GET /bpms/login.jsp HTTP/1.1" 200 4908
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/js/jquery.cookie.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/css/zice.style.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/js/xheditor/jquery-1.8.0.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/css/tipsy.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/css/icon.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/css/buttons.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/js/iphone.check.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/js/jquery-jrumble.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/js/jquery.md5.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/js/jquery.tipsy.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/js/login.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/extend/loader_green.gif HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/extend/toplogo-jeecg.png HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/extend/user_.png HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/extend/pass_.png HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/extend/pick_bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [23/Oct/2015:09:11:05 +0800] "GET /bpms/extend/typelogin.png HTTP/1.1" 304 -
