127.0.0.1 - - [28/Jul/2015:09:17:52 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [28/Jul/2015:09:18:07 +0800] "GET /bpms/index.jsp HTTP/1.1" 302 -
127.0.0.1 - - [28/Jul/2015:09:18:07 +0800] "GET /bpms/login.jsp HTTP/1.1" 200 4911
127.0.0.1 - - [28/Jul/2015:09:18:08 +0800] "GET /bpms/Kaptcha.jpg HTTP/1.1" 200 1474
127.0.0.1 - - [28/Jul/2015:09:18:08 +0800] "GET /extend/iconkey.ico HTTP/1.1" 404 987
127.0.0.1 - - [28/Jul/2015:09:20:47 +0800] "POST /bpms/systemAction!load.action HTTP/1.1" 200 38
127.0.0.1 - - [28/Jul/2015:09:20:48 +0800] "GET /bpms/index.jsp HTTP/1.1" 200 12842
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "GET /bpms/js/validate.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "GET /bpms/js/common.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "GET /bpms/js/pushlet/ajax-pushlet-client.js HTTP/1.1" 200 19124
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "POST /bpms/layout/north.jsp HTTP/1.1" 200 2266
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "POST /bpms/layout/south.jsp HTTP/1.1" 200 128
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "POST /bpms/layout/center.jsp HTTP/1.1" 200 6330
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "GET /bpms/pushlet.srv?p_event=join-listen&userId=1&p_format=xml-strict&p_mode=pull&p_subject=claimLoanOrderEvent HTTP/1.1" 200 269
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "GET /bpms/pushlet.srv?p_event=join-listen&userId=1&p_format=xml-strict&p_mode=pull&p_subject=unClaimLoanOrderEvent HTTP/1.1" 200 269
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "GET /bpms/systemAction!findAllFunctionList.action HTTP/1.1" 200 1688
127.0.0.1 - - [28/Jul/2015:09:20:49 +0800] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "GET /bpms/jsp/loanOrder/loanOrderMain.jsp HTTP/1.1" 200 78093
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "POST /bpms/common/commonAction!findTextArr.action HTTP/1.1" 200 53
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "POST /bpms/common/commonAction!findTextArr.action HTTP/1.1" 200 59
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "POST /bpms/common/commonAction!findTextArr.action HTTP/1.1" 200 101
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "POST /bpms/common/commonAction!findTextArr.action HTTP/1.1" 200 197
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "POST /bpms/common/commonAction!findTextArr.action HTTP/1.1" 200 65
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "POST /bpms/common/commonAction!findTextArr.action HTTP/1.1" 200 118
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "POST /bpms/common/commonAction!getAreaDicText.action HTTP/1.1" 200 1234
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "POST /bpms/common/commonAction!findTextArr.action HTTP/1.1" 200 142
127.0.0.1 - - [28/Jul/2015:09:20:51 +0800] "POST /bpms/common/commonAction!findTextArr.action HTTP/1.1" 200 62
